treatment,covid,replicate,count,n,risk,odds,relative_risk,odds_ratio
vaccine,+,125,86,15000,0.005733333333333333,0.0057663939922220735,0.7818181818181817,0.7805600594926063
vaccine,+,126,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,127,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,128,113,15000,0.007533333333333334,0.00759051521461678,1.3614457831325302,1.3641893428486564
vaccine,+,129,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,130,84,15000,0.0056,0.0056315366049879325,0.7499999999999999,0.748592115848753
vaccine,+,131,102,15000,0.0068,0.00684655658477648,1.085106382978723,1.085689068645513
vaccine,+,132,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,133,83,15000,0.005533333333333334,0.005564121472145874,0.7345132743362832,0.7330360739454479
vaccine,+,134,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,135,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,136,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,137,91,15000,0.006066666666666666,0.006103695754242404,0.8666666666666665,0.8658528405661011
vaccine,+,138,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,139,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,140,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,141,93,15000,0.0062,0.006238679814852083,0.9029126213592231,0.9023069242898203
vaccine,+,142,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,143,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,144,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,145,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,146,91,15000,0.006066666666666666,0.006103695754242404,0.8666666666666665,0.8658528405661011
vaccine,+,147,105,15000,0.007,0.007049345417925478,1.1538461538461537,1.154930668525835
vaccine,+,148,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,149,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,150,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,151,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,152,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,153,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,154,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,155,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,156,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,157,83,15000,0.005533333333333334,0.005564121472145874,0.7345132743362832,0.7330360739454479
vaccine,+,158,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,159,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,160,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,161,114,15000,0.0076,0.00765820233776703,1.3902439024390243,1.3932324692049824
vaccine,+,162,106,15000,0.007066666666666666,0.007116959849603867,1.1777777777777776,1.179043015084374
vaccine,+,163,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,164,91,15000,0.006066666666666666,0.006103695754242404,0.8666666666666665,0.8658528405661011
vaccine,+,165,91,15000,0.006066666666666666,0.006103695754242404,0.8666666666666665,0.8658528405661011
vaccine,+,166,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,167,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,168,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,169,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,170,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,171,105,15000,0.007,0.007049345417925478,1.1538461538461537,1.154930668525835
vaccine,+,172,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,173,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,174,106,15000,0.007066666666666666,0.007116959849603867,1.1777777777777776,1.179043015084374
vaccine,+,175,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,176,107,15000,0.0071333333333333335,0.007184583361310683,1.2022471910112358,1.2037002528146472
vaccine,+,177,106,15000,0.007066666666666666,0.007116959849603867,1.1777777777777776,1.179043015084374
vaccine,+,178,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,179,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,180,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,181,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,182,102,15000,0.0068,0.00684655658477648,1.085106382978723,1.085689068645513
vaccine,+,183,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,184,113,15000,0.007533333333333334,0.00759051521461678,1.3614457831325302,1.3641893428486564
vaccine,+,185,83,15000,0.005533333333333334,0.005564121472145874,0.7345132743362832,0.7330360739454479
vaccine,+,186,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,187,102,15000,0.0068,0.00684655658477648,1.085106382978723,1.085689068645513
vaccine,+,188,104,15000,0.006933333333333333,0.006981740064446831,1.1304347826086953,1.1313454443562319
vaccine,+,189,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,190,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,191,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,192,107,15000,0.0071333333333333335,0.007184583361310683,1.2022471910112358,1.2037002528146472
vaccine,+,193,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,194,102,15000,0.0068,0.00684655658477648,1.085106382978723,1.085689068645513
vaccine,+,195,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,196,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,197,93,15000,0.0062,0.006238679814852083,0.9029126213592231,0.9023069242898203
vaccine,+,198,89,15000,0.005933333333333333,0.005968747904231775,0.8317757009345793,0.8307716125020919
vaccine,+,199,114,15000,0.0076,0.00765820233776703,1.3902439024390243,1.3932324692049824
vaccine,+,200,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,201,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,202,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,203,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,204,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,205,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,206,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,207,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,208,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,209,102,15000,0.0068,0.00684655658477648,1.085106382978723,1.085689068645513
vaccine,+,210,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,211,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,212,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,213,89,15000,0.005933333333333333,0.005968747904231775,0.8317757009345793,0.8307716125020919
vaccine,+,214,90,15000,0.006,0.006036217303822938,0.8490566037735848,0.8481454766333854
vaccine,+,215,89,15000,0.005933333333333333,0.005968747904231775,0.8317757009345793,0.8307716125020919
vaccine,+,216,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,217,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,218,85,15000,0.005666666666666667,0.00569896077774053,0.7657657657657658,0.7644308740520608
vaccine,+,219,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,220,89,15000,0.005933333333333333,0.005968747904231775,0.8317757009345793,0.8307716125020919
vaccine,+,221,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,222,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,223,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,224,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,225,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,226,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,227,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,228,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,229,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,230,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,231,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,232,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,233,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,234,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,235,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,236,104,15000,0.006933333333333333,0.006981740064446831,1.1304347826086953,1.1313454443562319
vaccine,+,237,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,238,107,15000,0.0071333333333333335,0.007184583361310683,1.2022471910112358,1.2037002528146472
vaccine,+,239,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,240,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,241,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,242,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,243,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,244,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,245,101,15000,0.006733333333333333,0.006778978454929862,1.063157894736842,1.063586040744522
vaccine,+,246,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,247,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,248,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,249,106,15000,0.007066666666666666,0.007116959849603867,1.1777777777777776,1.179043015084374
vaccine,+,250,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,251,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,252,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,253,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,254,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,255,106,15000,0.007066666666666666,0.007116959849603867,1.1777777777777776,1.179043015084374
vaccine,+,256,116,15000,0.007733333333333333,0.00779360386992744,1.4499999999999997,1.4535071217414677
vaccine,+,257,112,15000,0.007466666666666667,0.0075228371843095105,1.333333333333333,1.3358409457281029
vaccine,+,258,112,15000,0.007466666666666667,0.0075228371843095105,1.333333333333333,1.3358409457281029
vaccine,+,259,89,15000,0.005933333333333333,0.005968747904231775,0.8317757009345793,0.8307716125020919
vaccine,+,260,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,261,110,15000,0.007333333333333333,0.0073875083948959025,1.2790697674418603,1.2811313976915988
vaccine,+,262,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,263,90,15000,0.006,0.006036217303822938,0.8490566037735848,0.8481454766333854
vaccine,+,264,84,15000,0.0056,0.0056315366049879325,0.7499999999999999,0.748592115848753
vaccine,+,265,98,15000,0.006533333333333334,0.0065762984834250434,1,1
vaccine,+,266,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,267,88,15000,0.005866666666666667,0.005901287553648069,0.8148148148148148,0.8137219837863616
vaccine,+,268,84,15000,0.0056,0.0056315366049879325,0.7499999999999999,0.748592115848753
vaccine,+,269,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,270,97,15000,0.006466666666666667,0.0065087566261826475,0.9797979797979797,0.9796664897651276
vaccine,+,271,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,272,95,15000,0.006333333333333333,0.0063737001006373695,0.9405940594059404,0.9402154237563974
vaccine,+,273,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,274,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,275,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,276,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,277,107,15000,0.0071333333333333335,0.007184583361310683,1.2022471910112358,1.2037002528146472
vaccine,+,278,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
vaccine,+,279,94,15000,0.006266666666666667,0.006306185428686435,0.9215686274509803,0.9210740246722599
vaccine,+,280,96,15000,0.0064,0.00644122383252818,0.96,0.9597423510466987
vaccine,+,281,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,282,87,15000,0.0058,0.005833836250251458,0.7981651376146787,0.7969876660779308
vaccine,+,283,111,15000,0.0074,0.007455168245013097,1.3058823529411765,1.3081627573455334
vaccine,+,284,105,15000,0.007,0.007049345417925478,1.1538461538461537,1.154930668525835
vaccine,+,285,99,15000,0.0066,0.006643849406080129,1.0206185567010309,1.0207555432867235
vaccine,+,286,103,15000,0.006866666666666667,0.006914143787339733,1.10752688172043,1.1082703380416496
vaccine,+,287,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,288,100,15000,0.006666666666666667,0.006711409395973155,1.0416666666666667,1.0419463087248322
vaccine,+,289,91,15000,0.006066666666666666,0.006103695754242404,0.8666666666666665,0.8658528405661011
vaccine,+,290,92,15000,0.0061333333333333335,0.006171183257311511,0.8846153846153846,0.8839033250087718
